avg_xAcc,avg_yAcc,avg_zAcc,avg_xGyro,avg_zGyro,STD_xAcc,STD_yAcc,STD_zAcc,STD_xGyro,STD_zGyro,Vari_xAcc,Vari_yAcc,Vari_zAcc,Vari_xGyro,Vari_zGyro,SumAbsAcc,SumAbsGyro,sumAbs_MinMax_xAcc,sumAbs_MinMax_yAcc,sumAbs_MinMax_zAcc,sumAbs_MinMax_xGyro,sumAbs_MinMax_zGyro,min_xAcc,min_yAcc,min_zAcc,min_xGyro,min_zGyro,max_xAcc,max_yAcc,max_zAcc,max_xGyro,max_zGyro,
-0.317534784,9.53545718,2.083844289,-0.001092238,0.001208218,0.073247998,0.081349759,0.23635166,0.020884062,0.011894148,0.005365269,0.006617783,0.055862107,4.36E-04,1.41E-04,370.0419239,0.907257047,0.6235459,19.0847187,4.193779469,0.076078899,0.037245326,-0.438043147,9.389552116,1.686035156,-0.043249257,-0.017261306,-0.185502753,9.695166588,2.507744312,0.032829642,0.01998402,1
-0.331010899,9.687700887,1.356256872,0.005355909,-0.001003846,0.070815855,0.174041624,0.582890746,0.024987056,0.009350782,0.005014885,0.030290487,0.339761622,6.24E-04,8.74E-05,354.0358413,0.878843086,0.665339068,19.63777828,2.585421741,0.098488927,0.037245326,-0.466677785,9.435155869,-0.3638708,-0.045361105,-0.020455258,-0.198661283,10.20262241,2.221550941,0.053127822,0.016790068,1
-0.440253223,10.02669771,0.153834412,0.004899871,0.001330392,0.191432899,0.271309576,0.634447683,0.03519074,0.034417508,0.036646555,0.073608886,0.402523862,0.001238388,0.001184565,341.3760149,1.612474791,0.946178932,19.80895424,2.565482974,0.157009825,0.172455981,-0.920599282,9.243763924,-1.25603652,-0.070860371,-0.072082095,0.02557965,10.56519032,1.309446454,0.086149454,0.100373887,1
-0.360395011,9.745599931,1.060569573,-0.002705823,-4.18E-04,0.31365312,0.382722103,0.74595565,0.050534134,0.034265131,0.09837828,0.146476208,0.556449832,0.002553699,0.001174099,349.3814028,2.188328707,1.255835444,18.91275692,3.158076525,0.186296448,0.146363311,-1.00518167,8.517008781,-0.378312588,-0.120916411,-0.077405348,0.250653774,10.39574814,2.779763937,0.065380037,0.068957962,1
-0.194594227,9.873661749,0.983318415,0.006503885,-0.011081152,0.354257568,0.364618835,0.639586771,0.052853701,0.033977948,0.125498425,0.132946895,0.409071238,0.002793514,0.001154501,348.0496947,2.229099598,1.176587343,19.81873226,2.750698417,0.223559223,0.134669602,-0.757956386,9.065951347,-0.338664621,-0.102799892,-0.071558498,0.418630958,10.75278091,2.412033796,0.120759331,0.063111104,1
-0.298807799,9.699958032,0.963580308,-0.007466068,0.004540108,0.395830554,0.511526297,0.636115137,0.069230116,0.040786846,0.156681827,0.261659153,0.404642468,0.004792809,0.001663567,343.1022138,2.863718799,1.724581689,19.42548084,2.63620764,0.30127874,0.168720983,-1.292533636,8.672890663,-0.258698285,-0.142174527,-0.099763021,0.432048053,10.75259018,2.377509356,0.159104213,0.068957962,1
0.007321315,9.701248138,1.566547161,0.002784645,-0.00351149,0.320614668,0.450424771,0.64057288,0.081257802,0.043542667,0.102793765,0.202882475,0.410333614,0.00660283,0.001895964,357.7382369,3.212226125,1.294813037,19.68850708,2.694214299,0.308190241,0.187902145,-0.591636002,8.913163185,-0.125484899,-0.171949834,-0.116273835,0.703177035,10.77534389,2.568729401,0.136240408,0.07162831,1
-0.015035899,9.506634189,2.482878616,-0.013539251,-0.008643321,0.285958434,0.411106901,0.857729886,0.0700196,0.032086977,0.081772226,0.169008884,0.735700558,0.004902744,0.001029574,379.0953612,2.777691488,1.221378088,18.76577187,5.494472504,0.28262116,0.138387159,-0.549124539,8.521011353,1.189879894,-0.120288089,-0.065170594,0.672253549,10.24476051,4.304592609,0.162333071,0.073216565,1
-0.043627608,9.374650894,2.633366377,0.007145153,-0.008815601,0.328239327,0.484534509,0.859219493,0.05731594,0.035748834,0.107741056,0.23477369,0.738258137,0.003285117,0.001277979,380.449653,2.316208984,1.351641774,19.13080215,6.069406748,0.241658278,0.152227618,-0.604957342,8.623933792,0.972783327,-0.108070783,-0.061976641,0.746684432,10.50686836,5.096623421,0.133587494,0.090250976,1
-0.152177313,9.332752412,3.200081337,0.001842167,-0.008402916,0.379030097,0.34871188,0.796215659,0.042403141,0.031311047,0.143663814,0.121599975,0.633959376,0.001798026,9.80E-04,398.7168199,1.915725721,1.312003374,18.97355938,6.796429753,0.158109374,0.127217047,-0.815350175,8.835762978,1.600112081,-0.086271621,-0.069429196,0.496653199,10.1377964,5.196317673,0.071837753,0.05778785,1
-0.314846786,9.392143988,3.065964968,-0.002924271,-0.002927649,0.246265869,0.466273667,1.044498222,0.049541451,0.033100076,0.060646878,0.217411133,1.090976537,0.002454355,0.001095615,396.771845,2.044653203,1.144830644,18.70345688,5.513310075,0.207048409,0.130393546,-0.854433119,8.437195778,0.896513581,-0.10330604,-0.076340698,0.290397525,10.2662611,4.616796494,0.103742369,0.054052848,1
-0.383621548,9.210930363,3.536594283,-0.001647929,-7.96E-04,0.219206215,0.251288077,0.581578335,0.048536365,0.025283504,0.048051365,0.063145698,0.33823336,0.002355779,6.39E-04,407.2886525,1.872528837,0.998669453,18.35513687,7.404145002,0.202807263,0.12135274,-0.890499413,8.744850159,2.519533396,-0.107564643,-0.04972443,0.10817004,9.610286713,4.884611607,0.09524262,0.07162831,1
-0.383529797,9.274284763,3.186250264,0.002367455,-3.34E-04,0.110117982,0.169002411,0.382528711,0.021870714,0.014095664,0.01212597,0.028561815,0.146328215,4.78E-04,1.99E-04,398.1660095,0.886592351,0.847528219,18.58911896,5.991566181,0.119223442,0.054803338,-0.647574067,8.917176247,2.210901499,-0.045867253,-0.027366763,-0.199954152,9.671942711,3.780664682,0.073356189,0.027436575,1
-0.387824842,9.471490337,2.348747396,-6.35E-04,6.10E-04,0.063135511,0.15572953,0.468320323,0.04430569,0.009004974,0.003986093,0.024251687,0.219323925,0.001962994,8.11E-05,378.4499398,1.477892454,0.7442424,18.96955681,4.807585716,0.136781454,0.032445671,-0.496250987,9.202267647,1.469417334,-0.066636674,-0.014590953,-0.247991413,9.767289162,3.338168383,0.07014478,0.017854718,1
-0.386193382,9.552882164,1.989771274,8.32E-04,-4.28E-05,0.088552183,0.159609863,0.483774664,0.047553676,0.012992247,0.007841489,0.025475308,0.234037925,0.002261352,1.69E-04,369.7942514,1.682165785,0.770099774,19.14761925,4.057223916,0.149539806,0.039374627,-0.536703408,9.30768013,1.173599362,-0.064594634,-0.017261306,-0.233396366,9.839939117,2.883624554,0.084945172,0.022113321,1
-0.387975599,9.532905517,2.116849626,5.37E-04,8.33E-04,0.084588486,0.141207385,0.427746684,0.042854868,0.011634948,0.007155212,0.019939525,0.182967226,0.00183654,1.35E-04,373.169653,1.492780102,0.741704568,19.03847122,4.215413332,0.141005151,0.036704274,-0.519513071,9.254480362,1.352178097,-0.066235244,-0.015655603,-0.222191498,9.78399086,2.863235235,0.074769907,0.021048671,1
-0.378986066,9.537945655,2.094770482,-7.13E-04,1.07E-05,0.089832812,0.202452119,0.503421425,0.053869186,0.010527526,0.008069934,0.040986861,0.253433131,0.002901889,1.11E-04,372.3627683,1.751664791,0.752813607,19.13017845,4.455513477,0.174044229,0.038309976,-0.513441324,9.211958885,1.411180735,-0.096097827,-0.017784905,-0.239372283,9.918219566,3.044332743,0.077946402,0.020525072,1
-0.383787135,9.534073953,2.02908191,0.002043161,8.33E-04,0.074946265,0.188470982,0.477882188,0.052145183,0.009004244,0.005616943,0.035521311,0.228371385,0.00271912,8.11E-05,370.3552329,1.689234373,0.719764084,19.14753246,4.457266092,0.152768672,0.028728119,-0.485371739,9.279906273,1.449861526,-0.085468777,-0.014067354,-0.234392345,9.86762619,3.007404566,0.067299895,0.014660765,1
-0.387289465,9.534925276,2.049865134,4.48E-04,6.77E-04,0.081048415,0.20802999,0.505667861,0.055403554,0.00983133,0.006568846,0.043276477,0.255699986,0.003069554,9.67E-05,371.1344762,1.81966282,0.780844927,19.22518063,4.36600852,0.166102983,0.03031637,-0.526322126,9.222914696,1.407924652,-0.09335766,-0.014590953,-0.2545228,10.00226593,2.958083868,0.072745323,0.015725417,1
-0.3831078,9.544704714,2.027978439,-4.36E-04,-6.26E-04,0.096092127,0.166814189,0.441287789,0.048308641,0.010892827,0.009233697,0.027826974,0.194734913,0.002333725,1.19E-04,370.6295196,1.591513386,0.78219527,19.13842487,4.165326834,0.156468771,0.047891835,-0.60879761,9.256807327,1.257904053,-0.083705992,-0.025237462,-0.17339766,9.881617546,2.907422781,0.07276278,0.022654373,1
-0.383258246,9.542545288,2.045145615,5.25E-04,-4.88E-04,0.055161874,0.06551117,0.293693405,0.031906013,0.008603266,0.003042832,0.004291713,0.086255816,0.001017994,7.40E-05,371.0994236,1.078142232,0.758349031,19.0700655,3.960430861,0.11602949,0.028728119,-0.484653473,9.413990974,1.478821754,-0.059184115,-0.015132004,-0.273695558,9.656074524,2.481609106,0.056845374,0.013596115,1
-0.380947766,9.544188838,2.04205693,-8.56E-04,-4.73E-04,0.049817806,0.089933845,0.35808661,0.039109238,0.008171404,0.002481814,0.008088097,0.12822602,0.001529532,6.68E-05,370.9829995,1.330953181,0.740928829,19.06155205,3.986882091,0.119781945,0.034051374,-0.461563796,9.340815544,1.279250741,-0.061837014,-0.017261306,-0.279365033,9.720736504,2.70763135,0.057944931,0.016790068,1
-0.385239717,9.54076527,2.051814475,0.002341556,-4.18E-04,0.04974473,0.080457266,0.274338585,0.027977656,0.004658632,0.002474538,0.006473372,0.075261659,7.83E-04,2.17E-05,371.3124034,0.883607844,0.793103248,19.04015732,3.945950866,0.099029984,0.021275564,-0.489393979,9.372408867,1.48563087,-0.037350047,-0.011397,-0.303709269,9.667748451,2.460319996,0.061679937,0.009878564,1
-0.384455656,9.538379023,2.047977597,8.04E-04,4.34E-05,0.038949588,0.077409101,0.326761327,0.029569243,0.003996018,0.00151707,0.005992169,0.106772965,8.74E-04,1.60E-05,371.0951806,0.885004107,0.781199306,19.05531788,3.902500987,0.099536125,0.015411257,-0.464293182,9.389801025,1.391701579,-0.051661745,-0.007138397,-0.316906124,9.665516853,2.510799408,0.04787438,0.00827286,1
-0.388464941,9.563661821,1.972293919,8.66E-04,-9.88E-04,0.063798356,0.111176094,0.27575807,0.023563118,0.009687559,0.00407023,0.012360124,0.076042513,5.55E-04,9.38E-05,369.6570411,0.808296877,0.742183357,19.16619682,3.988557935,0.102712624,0.032986723,-0.505674541,9.34535408,1.482776999,-0.03885103,-0.016720254,-0.236508816,9.820842743,2.505780935,0.063861594,0.016266469,1
-0.40214031,9.615697768,1.663045852,0.005275962,-0.001124893,0.089798716,0.11851525,0.339365283,0.024278744,0.009124093,0.008063809,0.014045864,0.115168796,5.89E-04,8.32E-05,362.1074018,0.891077844,0.771067053,19.23990154,2.916549385,0.094736472,0.032463123,-0.558155477,9.373807907,0.582834899,-0.03460988,-0.018325957,-0.212911576,9.866093636,2.333714485,0.060126591,0.014137167,1
-0.423069039,9.827882921,0.360047163,0.004751237,0.003029554,0.131743653,0.23360699,0.603196734,0.033213969,0.016062096,0.01735639,0.054572226,0.363846299,0.001103168,2.58E-04,336.8481782,1.150171976,1.134411111,19.92469025,2.457370341,0.145316113,0.095801119,-0.89757669,9.485692978,-0.928346932,-0.059061941,-0.028972466,-0.236834422,10.43899727,1.529023409,0.086254172,0.066828653,1
-0.372917767,9.67319427,0.776962021,-0.001709297,-0.005769721,0.519966293,0.607240365,0.964064793,0.076183163,0.061766249,0.270364946,0.368740861,0.929420925,0.005803874,0.00381507,347.4057443,3.290818295,2.306152523,19.42306614,3.953353763,0.358263731,0.295955479,-1.697728395,8.510065079,-1.433600068,-0.13402383,-0.125314638,0.608424127,10.91300106,2.519753695,0.224239901,0.170640841,1
-0.154524253,9.865019798,1.331666733,0.028224789,-0.0025555,0.429963193,0.391689848,0.711156957,0.062597068,0.054652531,0.184868347,0.153420937,0.505744217,0.003918393,0.002986899,357.1918785,2.907386913,2.395858526,19.91983509,3.179940246,0.294332325,0.268798158,-1.703800201,9.179416656,0.112278484,-0.157411247,-0.091769412,0.692058325,10.74041843,3.067661762,0.136921078,0.177028745,1
-0.380152887,9.676733417,1.169985832,0.006245464,-0.014234005,0.469721055,0.462068549,0.746766456,0.062989338,0.056576233,0.220637869,0.213507344,0.557660141,0.003967657,0.00320087,353.831333,2.975559466,2.055881798,19.39124298,2.931901157,0.315119192,0.260821998,-1.425976872,8.830945969,-0.34296459,-0.140359372,-0.121579632,0.629904926,10.56029701,2.588936567,0.17475982,0.139242366,1
-0.121171629,9.629096247,0.825687251,0.001810638,0.00230102,0.369503206,0.55756046,0.825889615,0.074905042,0.042445177,0.136532619,0.310873667,0.682093656,0.005610765,0.001801593,339.5694568,2.933636656,1.578621686,19.59075642,3.678432345,0.355575934,0.163938776,-1.045557499,8.746382713,-1.481531978,-0.153152645,-0.08857546,0.533064187,10.8443737,2.196900368,0.202423289,0.075363316,1
-0.027596653,9.727808952,0.90544599,0.006033209,-0.009235607,0.36646494,0.494229042,0.821436891,0.07459988,0.030700846,0.134296553,0.244262346,0.674758566,0.005565142,9.43E-04,344.5382758,2.754408814,1.460491776,19.38703823,3.975696206,0.2486047,0.134652153,-0.792902172,8.479448318,-1.159530997,-0.116989419,-0.091769412,0.667589605,10.90758991,2.816165209,0.131615281,0.04288274,1
0.426363764,9.853039249,1.262234263,-0.021057116,-0.01115941,0.365579345,0.375148024,0.75139588,0.064796566,0.025244719,0.133648258,0.14073604,0.564595768,0.004198595,6.37E-04,359.9972518,2.383700867,1.286998272,19.55636692,3.201909602,0.237382233,0.096342172,-0.291585028,8.948511124,-0.596606314,-0.151040792,-0.050789081,0.995413244,10.6078558,2.605303288,0.086341441,0.045553092,1
0.119230623,9.493293578,2.024526463,-0.002030212,-0.003510364,0.273809667,0.451065986,0.737126489,0.063709719,0.032894972,0.074971734,0.203460524,0.54335546,0.004058928,0.001082079,364.4401615,2.434681941,1.149484932,19.28509331,3.817085266,0.262986213,0.151145518,-0.311102569,8.696726799,0.614380836,-0.132522851,-0.082187556,0.838382363,10.58836651,3.20270443,0.130463362,0.068957962,1
0.169108488,9.635832602,1.989528158,0.013446354,0.005744385,0.280352194,0.333777913,0.608212255,0.066367861,0.039783732,0.078597353,0.111407696,0.369922148,0.004404693,0.001582745,368.5178311,2.832774091,0.982532531,19.40819359,3.906130493,0.235811435,0.156486221,-0.301401287,9.091568947,0.704010189,-0.112329394,-0.068364546,0.681131244,10.31662464,3.202120304,0.123482041,0.088121675,1
-0.363686968,9.392068586,2.367817602,-0.01441079,-1.96E-04,0.3332072,0.441650288,0.819103499,0.063707317,0.046983479,0.111027038,0.195054977,0.670930543,0.004058622,0.002207447,377.5742255,2.971772113,1.74203074,18.76880741,4.7709831,0.223035634,0.176173538,-1.029889822,8.51688385,0.970772147,-0.140045226,-0.088051863,0.712140918,10.25192356,3.800210953,0.082990408,0.088121675,1
-0.348288383,9.164838729,2.729912954,-0.019720532,-0.003383124,0.388302021,0.483307031,1.136880456,0.107153566,0.047052491,0.150778459,0.233585686,1.292497171,0.011481887,0.002213937,382.7242189,3.837106355,1.642881989,18.30642891,6.144450784,0.419908762,0.206001215,-1.027543426,8.1123209,0.869717717,-0.2483778,-0.099763021,0.615338564,10.19410801,5.274733067,0.171530962,0.106238194,1
-0.369076234,9.36439548,2.494110361,-0.01526769,0.002798157,0.325344999,0.564238203,0.730039633,0.067108737,0.045252584,0.105849368,0.31836475,0.532957865,0.004503583,0.002047796,381.0619025,2.810573483,1.310815901,18.65799522,5.586055398,0.316707432,0.159680173,-0.969728351,8.393296242,1.275630593,-0.159453273,-0.097092666,0.34108755,10.26469898,4.310424805,0.157254159,0.062587507,1
-0.313806626,9.37578472,2.278580612,-0.023494384,0.009492902,0.493482235,0.484067413,0.804233798,0.070547334,0.039297129,0.243524716,0.23432126,0.646792001,0.004976926,0.001544264,375.7625458,2.972941477,2.085416794,18.9345932,4.727169216,0.290632233,0.181514241,-1.360969663,8.532619476,0.824151218,-0.154688537,-0.119991384,0.724447131,10.40197372,3.903017998,0.135943696,0.061522856,1
-0.238028137,9.464466741,2.425591703,-0.00302505,7.24E-04,0.410210154,0.459610176,0.888757571,0.046351459,0.035919417,0.16827237,0.211241514,0.789890019,0.002148458,0.001290204,381.6003716,2.029067419,1.426628172,18.92625046,5.481132388,0.179908544,0.178302839,-0.839953005,8.646956444,0.968483329,-0.078574724,-0.069411747,0.586675167,10.27929401,4.512649059,0.101333819,0.108891092,1
-0.391749167,9.489561819,2.799337076,0.008051035,-0.001766724,0.35106692,0.401366515,0.79889279,0.060069491,0.034841856,0.123247982,0.161095079,0.63822969,0.003608344,0.001213955,394.9793659,2.404609899,1.454008371,18.78086567,5.197878599,0.247505136,0.150621913,-1.12629962,8.70490551,0.889685392,-0.112626098,-0.07367035,0.327708751,10.07596016,4.308193207,0.134879038,0.076951563,1
-0.413596648,9.484018418,2.21631928,-5.59E-04,0.001665945,0.300179254,0.383026359,0.573238207,0.033676202,0.037556508,0.090107585,0.146709192,0.328602042,0.001134087,0.001410491,376.821769,1.81639905,1.396231353,18.82670975,4.682876587,0.129346352,0.152768664,-0.847422898,8.621673584,1.147521734,-0.068451814,-0.073146746,0.548808455,10.20503616,3.535354853,0.060894538,0.079621918,1
-0.459608258,9.571531542,1.89352039,-0.002457536,-2.91E-04,0.262148728,0.273451606,0.475797322,0.040331602,0.032238164,0.068721956,0.074775781,0.226383092,0.001626638,0.001039299,369.8990977,1.864674861,1.024996035,19.18019867,3.584225416,0.1905725,0.115488436,-0.907680154,9.003376007,1.000709295,-0.084910266,-0.060894538,0.117315881,10.17682266,2.583516121,0.105662234,0.054593898,1
